time,true_time,Point.Forecast,Lo.80,Hi.80,Lo.95,Hi.95
1687,5.619178,73.82236312,63.3322769,84.31244933,57.7791607,89.86556554
1688,5.621918,75.44026791,64.94882532,85.93171049,59.3949911,91.48554472
1689,5.624658,79.21026352,68.71746475,89.7030623,63.1629126,95.25761445
1690,5.627397,66.79658103,56.30242623,77.29073582,50.74715625,82.8460058
1691,5.630137,61.9210495,51.42553886,72.41656014,45.86955114,77.97254786
1692,5.632877,73.41006259,62.91319628,83.9069289,57.35649091,89.46363427
1693,5.635616,77.94669104,67.44846924,88.44491284,61.89104632,94.00233577
1694,5.638356,74.54532639,64.04574927,85.04490351,58.48760888,90.60304389
1695,5.641096,66.2871576,55.78622533,76.78808986,50.22736758,82.34694761
1696,5.643836,81.72681182,71.22452459,92.22909905,65.66494955,97.78867408
1697,5.646575,68.13919976,57.63555774,78.64284179,52.07526552,84.203134
1698,5.649315,71.93370698,61.42871034,82.43870362,55.86770103,87.99971293
1699,5.652055,81.82391122,71.31756013,92.33026231,65.75583382,97.89198861
1700,5.654795,58.696277,48.18857164,69.20398236,42.62612843,74.76642557
1701,5.657534,79.49757124,68.98851179,90.00663069,63.42535176,95.56979072
1702,5.660274,74.65199014,64.14157676,85.16240351,58.57770001,90.72628026
1703,5.663014,75.07630618,64.56453906,85.5880733,58.99994568,91.15266668
1704,5.665753,76.90456311,66.39144242,87.4176838,60.8261325,92.98299372
1705,5.668493,73.04240511,62.52793102,83.5568792,56.96190466,89.12290556
1706,5.671233,70.95350643,60.43767911,81.46933374,54.87093639,87.03607646
1707,5.673973,59.73104196,49.2138616,70.24822232,43.64640262,75.8156813
1708,5.676712,75.55309224,65.034559,86.07162548,59.46638385,91.63980062
1709,5.679452,69.18136481,58.66147887,79.70125074,53.09258764,85.27014197
1710,5.682192,77.9466943,67.42545583,88.46793276,61.85584862,94.03753997
1711,5.684932,70.47051079,59.94791997,80.99310161,54.37759687,86.56342471
1712,5.687671,68.8883437,58.3644007,79.4122867,52.7933618,84.9833256
1713,5.690411,71.84821822,61.32292322,82.37351323,55.75116861,87.94526784
1714,5.693151,70.21825362,59.69160678,80.74490046,54.11913655,86.31737069
1715,5.69589,60.32244337,49.79444488,70.85044187,44.22125912,76.42362762
1716,5.69863,71.96895612,61.43960614,82.49830611,55.86570496,88.07220729
1717,5.70137,69.97354746,59.44284616,80.50424875,53.86822964,86.07886528
1718,5.70411,73.65278302,63.12073058,84.18483545,57.54539881,89.76016723
1719,5.706849,67.00162207,56.46821867,77.53502547,50.89217174,83.1110724
1720,5.709589,64.57489002,54.04013583,75.10964421,48.46337383,80.68640621
1721,5.712329,62.69600548,52.15990067,73.23211029,46.5824237,78.80958727
1722,5.715068,74.03036717,63.49291191,84.56782242,57.91472006,90.14601428
1723,5.717808,59.93257805,49.39377253,70.47138358,43.81486588,76.05029023
1724,5.720548,66.09059681,55.55044119,76.63075244,49.97081984,82.21037379
1725,5.723288,60.66403967,50.12253412,71.20554522,44.54219816,76.78588118
1726,5.726027,56.52610994,45.98325463,67.06896525,40.40220416,72.65001572
1727,5.728767,76.63738305,66.09317816,87.18158794,60.51141327,92.76335284
1728,5.731507,64.71221533,54.16666103,75.25776962,48.5841818,80.84024886
1729,5.734247,66.44739819,55.90049466,76.99430172,50.31730119,82.5774952
1730,5.736986,69.74748592,59.19923332,80.29573851,53.6153257,85.87964614
1731,5.739726,61.19079116,50.64118967,71.74039264,45.05656798,77.32501433
1732,5.742466,64.39735104,53.84640083,74.94830124,48.26106518,80.53363689
1733,5.745205,64.77163194,54.2193332,75.32393069,48.63328366,80.90998022
1734,5.747945,64.37535175,53.82170462,74.92899887,48.23494131,80.51576218
1735,5.750685,63.06615731,52.51116198,73.62115263,46.92368497,79.20862964
1736,5.753425,68.1010054,57.54466204,78.65734875,51.95647143,84.24553936
1737,5.756164,60.2229396,49.66524839,70.78063081,44.07634426,76.36953494
1738,5.758904,68.3795578,57.8205189,78.93859669,52.23090135,84.52821424
1739,5.761644,67.83950843,57.27912202,78.39989484,51.68879115,83.99022572
1740,5.764384,54.85421247,44.29247872,65.41594622,38.70143461,71.00699034
1741,5.767123,62.68341109,52.12033017,73.24649201,46.52857291,78.83824927
1742,5.769863,52.90863094,42.34420302,63.47305885,36.7517327,69.06552917
1743,5.772603,53.91355933,43.34778459,64.47933407,37.7546013,70.07251736
1744,5.775342,61.9919899,51.42486851,72.5591113,45.83097234,78.15300746
1745,5.778082,68.42694686,57.85847898,78.99541474,52.26387003,84.59002368
1746,5.780822,56.98680217,46.41698799,67.55661636,40.82166634,73.151938
1747,5.783562,57.65137627,47.08021595,68.2225366,41.4841817,73.81857085
1748,5.786301,59.41432017,48.84181388,69.98682647,43.24506712,75.58357322
1749,5.789041,61.11349877,50.53964668,71.68735086,44.9421875,77.28481004
1750,5.791781,46.65357558,36.07837787,57.2287733,30.48020635,62.82694481
1751,5.794521,53.45872593,42.88218276,64.0352691,37.283299,69.63415285
1752,5.79726,51.10519981,40.52731135,61.68308826,34.92771545,67.28268416
1753,5.8,54.84463968,44.26540611,65.42387324,38.66509815,71.0241812
1754,5.80274,51.16665214,40.58607363,61.74723064,34.9850537,67.34825057
1755,5.805479,53.67409462,43.09217134,64.25601789,37.49043953,69.8577497
1756,5.808219,56.87894427,46.29567639,67.46221215,40.6932328,73.06465574
1757,5.810959,52.0494352,41.4648229,62.63404751,35.86166761,68.2372028
1758,5.813699,62.40217572,51.81621916,72.98813228,46.21235226,78.59199918
1759,5.816438,54.97968815,44.3923875,65.5669888,38.78780908,71.17156721
1760,5.819178,57.09863642,46.50999185,67.68728098,40.90470201,73.29257082
1761,5.821918,59.26379155,48.67380324,69.85377986,43.06780206,75.45978104
1762,5.824658,47.64972055,37.05838867,58.24105244,31.45167624,63.84776487
1763,5.827397,56.28406724,45.69139195,66.87674254,40.08396837,72.48416612
