"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"5.202740",60.00094441754,49.7191067019051,70.282782133175,44.2762305945997,75.7256582404804
"5.205479",67.7392762141428,57.4560546611441,78.0224977671416,52.0124459945888,83.4661064336969
"5.208219",72.0097157665424,61.725110562381,82.2943209707038,56.2807694351449,87.73866209794
"5.210959",66.9874797534115,56.7014910842135,77.2734684226095,51.2564175948257,82.7185419119973
"5.213699",68.1969213890973,57.9095494409137,78.4842933372808,52.4637436878636,83.930099090331
"5.216438",70.4151323049076,60.1263772637144,80.7038873461008,54.6798393454517,86.1504252643635
"5.219178",67.9319793367076,57.6418413884056,78.2221172850095,52.1945714033403,83.6693872700748
"5.221918",69.048527229071,58.7570065594862,79.3400478986557,53.3090046059888,84.7880498521531
"5.224658",66.1296490573585,55.8367458522421,76.4225522624748,50.3880120286431,81.8712860860738
"5.227397",70.6691599984574,60.3748744434857,80.9634455534292,54.9254088480763,86.4129111488386
"5.230137",74.8443245130999,64.5486567938743,85.1399922323256,59.0984595249059,90.590189501294
"5.232877",58.2359738754818,47.938924177529,68.5330235734347,42.4879953332136,73.98395241775
"5.235616",62.6244663466114,52.3260348553834,72.9228978378394,46.8743745338934,78.3745581593294
"5.238356",63.0242989189834,52.7244858198577,73.3241120181091,47.2720941193259,78.776503718641
"5.241096",62.3866067388821,52.0854122171615,72.6878012606027,46.6322892356813,78.1409242420829
"5.243836",71.9248274217268,61.6222516626395,82.227403180814,56.1683974982649,87.6812573451887
"5.246575",72.3915210126203,62.0875642013202,82.6954778239204,56.6329789520656,88.150063073175
"5.249315",52.4246895503047,42.1193518718712,62.7300272287383,36.6640356357117,68.1853434648978
"5.252055",57.1454279490268,46.8387095884647,67.4521463095889,41.382662463336,72.9081934347175
"5.254795",58.8284196137747,48.5203207560147,69.1365184715347,43.0635428398132,74.5932963877362
"5.257534",63.1425481790042,52.8330690089026,73.4520273491057,47.3755603994853,78.909535958523
"5.260274",57.3956949465395,47.0848356488784,67.7065542442005,41.6265964440631,73.1647934490158
"5.263014",57.5493604622431,47.2371212217304,67.8615997027557,41.7781515192955,73.3205694051906
"5.265753",56.1141832943644,45.8005642956339,66.4278022930948,40.3408641933186,71.8875023954101
"5.268493",69.3228957863354,59.0078972139468,79.637894358724,53.5474668094511,85.0983247632197
"5.271233",56.0605410987692,45.744163137208,66.3769190603303,40.2830025281927,71.8380796693456
"5.273973",60.0005725384793,49.6828153721572,70.3183297048013,44.220924656244,75.7802204207146
"5.276712",63.5220494337554,53.2029132470102,73.8411856205006,47.7402925217814,79.3038063457294
"5.279452",61.1234967986363,50.8029817757316,71.4440118215409,45.3396311387307,76.9073624585418
"5.282192",55.9326594600098,45.6107657851357,66.2545531348838,40.1466853338669,71.7186335861526
"5.284932",59.873869100581,49.5505969578536,70.1971412433083,44.0857867897822,75.6619514113798
"5.287671",61.4340244276868,51.1093740011485,71.758674854225,45.6438342137006,77.2242146416729
"5.290411",62.5945911142894,52.268562587909,72.9206196406698,46.8022932784717,78.386888950107
"5.293151",60.9490793641079,50.6216729217805,71.2764858064353,45.154674187702,76.7434845405138
"5.295890",71.928253740233,61.5994695657799,82.257037914686,56.1317415043696,87.7247659760964
"5.298630",60.0071731600699,49.6770114372392,70.3373348829006,44.2085541457672,75.8057921743727
"5.301370",64.2662833506201,53.9347442630862,74.5978224381541,48.4655578387838,80.0670088624564
"5.304110",56.8883497278655,46.5554334592293,67.2212659965018,41.0855179992891,72.691181456442
"5.306849",59.1079054866325,48.7736122204216,69.4421987528434,43.3029678219972,74.9128431512678
"5.309589",64.925366513633,54.5896964333016,75.2610365939644,49.1183231935078,80.7324098337582
"5.312329",59.107697882064,48.770651170993,69.444744593135,43.2985491869059,74.9168465772221
"5.315068",59.9953164769867,49.6568933184839,70.3337396354896,44.1840626871405,75.8065702668329
"5.317808",60.5582738674117,50.2184744447114,70.898073290112,44.7449152631103,76.3716324717131
"5.320548",54.1091134303204,43.7679379265839,64.4502889340568,38.2936502916848,69.9245765689559
"5.323288",57.916389531455,47.5738381297706,68.2589409331394,42.0988221384946,73.7339569244154
"5.326027",48.255049880679,37.9111227640618,58.5989769972962,32.4353785132911,64.0747212480669
"5.328767",53.0599600931707,42.7146574445627,63.4052627417786,37.2381850311412,68.8817351552001
"5.331507",54.8816425682432,44.5349645705137,65.2283205659727,39.0577640912463,70.70552104524
"5.334247",51.879450271466,41.5313971074112,62.2275034355208,36.0534686590645,67.7054318838675
"5.336986",43.1325524470694,32.7831242994127,53.4819805947262,27.3044679787146,58.9606369154243
"5.339726",58.1395835333567,47.7887805847486,68.4903864819649,42.3093964883884,73.969770578325
"5.342466",51.4596684090697,41.107490842088,61.8118459760515,35.6273790667166,67.2919577514229
"5.345205",51.2197369133061,40.8661849104558,61.5732889161564,35.3853455526855,67.0541282739267
"5.347945",63.4183189494305,53.063392693144,73.773245205717,47.5818258495488,79.2548120493122
"5.350685",52.1552060298127,41.7989057024499,62.5115063571756,36.3166114695651,67.9938005900604
"5.353425",61.6641448983806,51.3064706822285,72.0218191145327,45.8234491565512,77.5048406402101
"5.356164",53.6844707643189,43.3254228415923,64.0435186870455,37.841674119581,69.5272674090569
"5.358904",58.7064576141054,48.3460361669464,69.0668790612644,42.8615603450214,74.5513548831894
"5.361644",46.0751502005966,35.713355411075,56.4369449901182,30.2281525856182,61.922147815575
"5.364384",42.7027158774574,32.3395479275705,53.0658838273443,26.8536181949255,58.5518135599893
"5.367123",51.6345693075926,41.2700283792655,61.9991102359197,35.7833718357376,67.4857667794477
"5.369863",52.6335564178145,42.2676426928999,62.9994701427291,36.780259434756,68.4868534008729
"5.372603",59.346569372237,48.9792830325154,69.7138557119587,43.4911731559845,75.2019655884896
"5.375342",60.1344374047996,49.7657786319793,70.50309617762,44.2769422332518,75.9919325763475
"5.378082",56.4140688966755,46.0440378723927,66.7840999209584,40.554475047621,72.2736627457301
"5.380822",49.1207375649586,38.7493344707772,59.4921406591399,33.2590453160756,64.9824298138416
"5.383562",61.7977528671677,51.4249778845799,72.1705278497555,45.9339624960243,77.6615432383111
"5.386301",53.8256066185148,43.4514599289405,64.199753308089,37.9597184025689,69.6914948344606
"5.389041",50.7473225305362,40.3718043153235,61.1228407457489,34.8793367471359,66.6153083139365
"5.391781",51.3241783229619,40.947288763387,61.7010678825368,35.4540952493451,67.1942613965788
"5.394521",54.2247205427651,43.8464598200322,64.602981265498,38.3525404560598,70.0969006294705
"5.397260",58.0370139110202,47.6573822062618,68.4166456157786,42.1627370882445,73.9112907337959
"5.400000",55.8110586903948,45.4300561846716,66.192061196118,39.9346854084573,71.6874319723323
"5.402740",59.058843193346,48.6764700676471,69.441216319045,43.1803737290455,74.9373126576466
"5.405479",54.697043255271,44.3132996905136,65.0807868200284,38.8164778852966,70.5776086252454
"5.408219",58.6116276373503,48.2265138143801,68.9967414603205,42.7289666382816,74.494288636419
"5.410959",48.4406005279599,38.0541166275511,58.8270844283688,32.5558441762672,64.3253568796527
"5.413699",55.1466828448055,44.7588290476606,65.5345366419504,39.2598314168494,71.0335342727616
"5.416438",48.6183548099574,38.2291312967076,59.0075783232072,32.7294085819895,64.5073010379254
"5.419178",53.9965335350172,43.6059404862222,64.3871265838123,38.1054927831797,69.8875742868548
"5.421918",60.6431195254099,50.2511571215579,71.0350819292619,44.7499845257357,76.5362545250841
"5.424658",55.1804096995757,44.7870781210837,65.5737412780676,39.2851807279888,71.0756386711626
"5.427397",60.4587513433869,50.0640507706006,70.8534519161732,44.5614286757022,76.3560740110716
"5.430137",66.1610564770423,55.7649870902361,76.5571258638484,50.2616403889657,82.0604725651188
"5.432877",54.6036197615557,44.2061817409329,65.0010577821786,38.7021105286844,70.5051289944271
"5.435616",49.6249061199399,39.2260996456325,60.0237125942474,33.721304017762,65.5285082221179
"5.438356",54.7803315029162,44.380156754985,65.1805062508473,38.8746368068111,70.6860261990213
"5.441096",60.2844897236904,49.8829468821256,70.6860325652553,44.376702708929,76.1922767384519
"5.443836",60.4126597725774,50.0097490172976,70.8155705278571,44.5027807143218,76.3225388308329
"5.446575",57.1342901570368,46.7300116678902,67.5385686461835,41.2223193303408,73.0462609837328
"5.449315",54.9786247472862,44.5729787040496,65.3842707905228,39.064562427095,70.8926870674775
